topic,question,answer
Ánh xạ,ánh xạ hằng là gì?,Ánh xạ hằng Là ánh xạ gán tất cả các phần tử của tập nguồn cho duy nhất một phần tử của tập đích.
Ánh xạ,ánh xạ đồng nhất là gì?,"Ánh xạ đồng nhất Là ánh xạ gán mỗi phần tử cho chính nó, ký hiệu là $id_A(x) = x$."
Ánh xạ,Tại sao hàm sàn và hàm trần lại là các ánh xạ từ tập số thực vào tập số nguyên?,Vì mỗi số thực chỉ có duy nhất một giá trị nguyên thỏa mãn điều kiện của hàm.
Ánh xạ,Tại sao khái niệm toàn ánh liên quan đến tính tồn tại nghiệm của phương trình f = y?,"Vì nếu f là toàn ánh, phương trình $f(x) = y$ luôn có ít nhất một nghiệm với mọi $y \in B$."
Ánh xạ,Tại sao khái niệm đơn ánh liên quan đến tính giải được của phương trình f = y?,"Vì nếu f là đơn ánh, phương trình $f(x) = y$ có tối đa một nghiệm duy nhất."
Ánh xạ,Tại sao nguyên lý chuồng bồ câu có thể phát biểu qua đơn ánh?,Nếu lực lượng tập nguồn lớn hơn tập đích thì không tồn tại đơn ánh từ tập nguồn vào tập đích.
Ánh xạ,Tại sao song ánh lại quan trọng trong việc so sánh lực lượng tập hợp?,Vì nếu tồn tại một song ánh giữa hai tập hợp thì hai tập hợp đó có cùng số phần tử (lực lượng bằng nhau).
Ánh xạ,Tại sao ánh xạ hợp của hai toàn ánh là một toàn ánh?,"Vì với mọi $z \in C$, tồn tại $y \in B$ sao cho $g(y) = z$, và tồn tại $x \in A$ sao cho $f(x) = y$."
Ánh xạ,Tại sao ánh xạ hợp của hai đơn ánh là một đơn ánh?,"Vì nếu $g(f(x_1)) = g(f(x_2))$, do g đơn ánh nên $f(x_1) = f(x_2)$, và do f đơn ánh nên $x_1 = x_2$."
Ánh xạ,Ánh xạ hợp có tính chất giao hoán không?,"Không, nhìn chung $f \circ g$ khác với $g \circ f$."
Ánh xạ,Ánh xạ hợp có tính chất kết hợp không?,"Có, $(f \circ g) \circ h = f \circ (g \circ h)$."
Ánh xạ,Điều kiện cần và đủ để một ánh xạ có ánh xạ ngược là gì?,Ánh xạ đó phải là một song ánh.
Ánh xạ,Điều kiện toán học để f là toàn ánh?,"Tập ảnh của f trùng với tập đích, tức là $f(A) = B$."
Ánh xạ,Điều kiện toán học để f là đơn ánh?,"Với mọi $x_1, x_2 \in A$, nếu $f(x_1) = f(x_2)$ thì $x_1 = x_2$."
Ánh xạ,Điều kiện để tồn tại ánh xạ hợp g circ f là gì?,Tập đích của f phải là tập con (hoặc trùng) với tập nguồn của g.
Ánh xạ,hàm sàn là gì?,"Hàm sàn Là ánh xạ gán mỗi số thực x cho số nguyên lớn nhất không vượt quá x, ký hiệu $\lfloor x \rfloor$."
Ánh xạ,hàm trần là gì?,"Hàm trần Là ánh xạ gán mỗi số thực x cho số nguyên nhỏ nhất không nhỏ hơn x, ký hiệu $\lceil x \rceil$."
Ánh xạ,nghịch ảnh là gì?,Nghịch ảnh Là tập hợp các phần tử $x \in A$ sao cho $f(x) = y$ với một giá trị $y$ cho trước trong B.
Ánh xạ,ảnh của một phần tử là gì?,"Với mỗi $x \in A$, phần tử $y = f(x) \in B$ được gọi là ảnh của $x$ qua ánh xạ $f$."
Ánh xạ,chiếu là gì?,"Chiếu Là ánh xạ từ một tích Descartes xuống một trong các tập hợp thành phần (ví dụ $f(x, y) = x$)."
Ánh xạ,tích Descartes của hai tập hợp qua ánh xạ là gì?,"Tích Descartes của hai tập hợp qua ánh xạ Là tập hợp các cặp thứ tự $(x, y)$ mà ánh xạ có thể nhận làm đầu vào hoặc đầu ra."
Ánh xạ,ánh xạ là gì?,Ánh xạ Là một quy tắc gán mỗi phần tử của tập hợp A với duy nhất một phần tử của tập hợp B.
Ánh xạ,ánh xạ hợp là gì?,"Ánh xạ hợp Là ánh xạ tạo thành bằng cách thực hiện liên tiếp hai ánh xạ f và g, ký hiệu là $g \circ f$."
Ánh xạ,ánh xạ ngược là gì?,"Nếu f là một song ánh từ A đến B, thì tồn tại ánh xạ $f^{-1}$ từ B đến A sao cho $f^{-1}(y) = x$ khi $f(x) = y$."
Ánh xạ,ánh xạ đặc trưng của một tập con là gì?,Ánh xạ đặc trưng của một tập con Là ánh xạ nhận giá trị 1 nếu phần tử thuộc tập con và giá trị 0 nếu ngược lại.
Ánh xạ,ảnh của một tập hợp qua ánh xạ là gì?,"Ảnh của một tập hợp qua ánh xạ Là tập hợp tất cả các ảnh của các phần tử thuộc tập hợp đó, ký hiệu $f(A)$."
Ánh xạ,nghịch ảnh của một tập hợp là gì?,Nghịch ảnh của một tập hợp Là tập hợp các phần tử trong tập nguồn mà ảnh của chúng rơi vào tập hợp đích cho trước.
Ánh xạ,Ảnh của phép giao hai tập hợp có bằng giao của hai ảnh không?,"Không nhất thiết, nói chung $f(A \cap B) \subseteq f(A) \cap f(B)$."
Ánh xạ,Khi nào ảnh của phép giao bằng giao các ảnh?,Khi ánh xạ f là một đơn ánh.
Ánh xạ,Nghịch ảnh của phép giao hai tập hợp bằng gì?,Bằng giao các nghịch ảnh của từng tập hợp.
Ánh xạ,Nghịch ảnh của phép hợp hai tập hợp bằng gì?,Bằng hợp các nghịch ảnh của từng tập hợp.
Ánh xạ,ánh xạ riêng là gì?,Ánh xạ riêng Là ánh xạ mà nghịch ảnh của mọi tập hợp compact là một tập hợp compact.
Ánh xạ,lực lượng của tập hữu hạn là gì?,Lực lượng của tập hữu hạn Là số lượng các phần tử có trong tập hợp đó.
Ánh xạ,hai tập hợp có cùng lực lượng là gì?,Nếu tồn tại một song ánh giữa hai tập hợp đó.
Ánh xạ,tập hợp đếm được là gì?,Tập hợp đếm được Là tập hợp có cùng lực lượng với tập các số tự nhiên $\mathbb{N}$.
Ánh xạ,Tập hợp các số hữu tỷ có đếm được không?,"Có, vì có thể thiết lập một song ánh giữa $\mathbb{Q}$ và $\mathbb{N}$."
Ánh xạ,Tập hợp các số thực có đếm được không?,"Không, tập số thực là tập vô hạn không đếm được (lực lượng continuum)."
Ánh xạ,Phương pháp đường chéo của Cantor dùng để chứng minh điều gì?,Dùng để chứng minh rằng tập số thực có lực lượng lớn hơn tập số tự nhiên.
Ánh xạ,ánh xạ nhúng là gì?,Ánh xạ nhúng Là một đơn ánh bảo toàn cấu trúc giữa hai không gian toán học.
Ánh xạ,biến đổi trên tập A là gì?,Biến đổi trên tập A Là một ánh xạ từ tập A vào chính nó.
Ánh xạ,phép hoán vị trên tập hữu hạn là gì?,Phép hoán vị trên tập hữu hạn Là một song ánh từ tập hữu hạn đó vào chính nó.
Ánh xạ,Ánh xạ ngược của một song ánh có phải là song ánh không?,"Có, nó luôn là một song ánh."
Ánh xạ,Nghịch đảo của ánh xạ hợp $^{-1}$ bằng gì?,Bằng $f^{-1} \circ g^{-1}$.
Ánh xạ,ánh xạ bao hàm là gì?,Ánh xạ bao hàm Là ánh xạ từ tập con A vào tập mẹ B gán mỗi phần tử cho chính nó.
Ánh xạ,hàm số hợp của f và g là gì?,Hàm số hợp của f và g Là hàm số nhận giá trị $g(f(x))$.
Bài toán tổ hợp,Công thức Pascal là gì?,$C_n^k = C_{n-1}^k + C_{n-1}^{k-1}$.
Bài toán tổ hợp,Công thức tính số chỉnh hợp chập k của n phần tử?,$A_n^k = \frac{n!}{(n-k)!}$.
Bài toán tổ hợp,Công thức tính số chỉnh hợp lặp chập k của n phần tử là gì?,$F_n^k = n^k$.
Bài toán tổ hợp,Công thức tính số hoán vị của n phần tử là gì?,"Ký hiệu là Pn, công thức $P_n = n!$."
Bài toán tổ hợp,Công thức tính số hoán vị lặp của n phần tử?,"$P_n(n_1, n_2, \dots, n_k) = \frac{n!}{n_1! n_2! \dots n_k!}$."
Bài toán tổ hợp,Công thức tính số tổ hợp chập k của n phần tử?,$C_n^k = \binom{n}{k} = \frac{n!}{k!(n-k)!}$.
Bài toán tổ hợp,Công thức tính số tổ hợp lặp chập k của n phần tử là gì?,$\bar{C}_n^k = C_{n+k-1}^k = \binom{n+k-1}{k}$.
Bài toán tổ hợp,Khi nào thì một bài toán tồn tại được giải bằng phương pháp phản chứng?,"Khi việc chỉ ra trực tiếp phần tử đó quá khó, ta giả sử ngược lại để tìm ra sự mâu thuẫn với các giả thiết đã cho."
Bài toán tổ hợp,nhánh cận trong liệt kê là gì?,Nhánh cận trong liệt kê Là kỹ thuật quay lui có thêm điều kiện đánh giá để loại bỏ sớm các nhánh không thể chứa nghiệm tối ưu.
Bài toán tổ hợp,Làm sao để biết một bài toán đếm có sử dụng nguyên lý bù trừ?,Khi các điều kiện trong bài toán có sự chồng lấn lên nhau (ví dụ: đếm số người thích bóng đá HOẶC bóng chuyền).
Bài toán tổ hợp,Làm sao để biết một hệ thức truy hồi là thuần nhất hay không?,"Nếu tất cả các số hạng đều có chứa biến của dãy số ($a_n$, $a_{n-1}$...) và không có số hạng tự do $f(n)$ thì là thuần nhất."
Bài toán tổ hợp,Làm sao để nhận diện một bài toán sử dụng nguyên lý chuồng bồ câu?,"""""""Khi đề bài hỏi về sự tồn tại của một nhóm phần tử có cùng tính chất (ví dụ """"""""ít nhất 2 người cùng ngày sinh"""""""")."""""""
Bài toán tổ hợp,Làm sao để phân biệt khi nào dùng quy tắc cộng và khi nào dùng quy tắc nhân?,"Dùng quy tắc cộng khi các phương án là độc lập (hoàn thành công việc), dùng quy tắc nhân khi các bước là liên tiếp (chưa hoàn thành công việc)."
Bài toán tổ hợp,Làm sao để xác định số lượng 'chuồng' và 'bồ câu' trong một bài toán thực tế?,"'Bồ câu' là đối tượng ta có, 'chuồng' là các thuộc tính hoặc loại mà đối tượng đó có thể thuộc về."
Bài toán tổ hợp,Làm thế nào để biết một bài toán đếm có cho phép lặp hay không?,"Dựa vào đề bài: nếu các phần tử có thể được chọn lại nhiều lần thì là bài toán lặp, nếu chọn xong mất đi thì không lặp."
Bài toán tổ hợp,Làm thế nào để liệt kê tất cả các xâu nhị phân độ dài n?,Bắt đầu từ xâu toàn số 0 và liên tiếp cộng 1 theo hệ nhị phân cho đến khi đạt xâu toàn số 1.
Bài toán tổ hợp,Làm thế nào để nhận biết một hệ thức truy hồi có nghiệm kép?,"Khi giải phương trình đặc trưng, nếu biệt thức delta bằng 0 hoặc phương trình có các nghiệm trùng nhau."
Bài toán tổ hợp,Làm thế nào để phân biệt hoán vị lặp và tổ hợp lặp?,"Hoán vị lặp là sắp xếp n vật có nhóm giống nhau, tổ hợp lặp là chọn k vật từ n loại vật khác nhau."
Bài toán tổ hợp,Làm thế nào để xử lý trường hợp phương trình đặc trưng có nghiệm kép?,Nghiệm tổng quát sẽ có dạng kết hợp giữa $r^n$ và n nhân $r^n$.
Bài toán tổ hợp,Mối liên hệ giữa hệ thức truy hồi và các bài toán chia để trị ?,Hệ thức truy hồi mô tả thời gian thực hiện của thuật toán thông qua thời gian thực hiện của các bài toán con nhỏ hơn.
Bài toán tổ hợp,Mối liên hệ giữa nguyên lý chuồng bồ câu và giá trị trung bình là gì?,Nó khẳng định rằng không phải mọi phần tử đều nhỏ hơn giá trị trung bình của cả tập hợp.
Bài toán tổ hợp,Mối quan hệ giữa định lý Ramsey và nguyên lý chuồng bồ câu là gì?,Định lý Ramsey có thể được coi là một sự tổng quát hóa sâu sắc và phức tạp hơn của nguyên lý chuồng bồ câu.
Bài toán tổ hợp,Nguyên lý bù trừ cho 3 tập hợp được phát biểu như thế nào?,"Cộng số phần tử mỗi tập, trừ đi giao từng đôi, và cộng lại giao của cả ba tập hợp."
Bài toán tổ hợp,Nguyên lý chuồng bồ câu mở rộng được phát biểu như thế nào?,"Nếu nhốt N con bồ câu vào n cái chuồng, thì ít nhất có một chuồng chứa ít nhất $\lceil N/n \rceil$ con bồ câu."
Bài toán tổ hợp,Nguyên tắc của thuật toán sinh hoán vị kế tiếp là gì?,"Tìm từ phải sang trái vị trí i đầu tiên mà ai < ai+1, sau đó thực hiện đổi chỗ và sắp xếp lại phần đuôi."
Bài toán tổ hợp,Nội dung nguyên lý bù trừ cho 2 tập hợp?,$|A \cup B| = |A| + |B| - |A \cap B|$.
Bài toán tổ hợp,Phát biểu nguyên lý chuồng bồ câu ?,"Nếu nhốt n+1 con bồ câu vào n cái chuồng, thì ít nhất có một chuồng chứa từ 2 con bồ câu trở lên."
Bài toán tổ hợp,Phát biểu nguyên lý chuồng bồ câu dạng tổng quát?,Nếu xếp N phần tử vào n ngăn thì có ít nhất một ngăn chứa ít nhất $\lceil N/n \rceil$ phần tử.
Bài toán tổ hợp,Phát biểu tổng quát của nguyên lý bù trừ cho n tập hợp?,"Số phần tử của hợp n tập bằng tổng số phần tử mỗi tập, trừ đi tổng giao từng đôi, cộng giao từng ba, và cứ thế hoán đổi dấu."
Bài toán tổ hợp,Phát biểu định lý Hall ?,Một họ các tập hợp có hệ đại diện phân biệt khi và chỉ khi mọi họ con gồm k tập hợp đều chứa ít nhất k phần tử khác nhau.
Bài toán tổ hợp,Phương trình đặc trưng là gì?,Là phương trình đại số được lập từ các hệ số của hệ thức truy hồi để tìm nghiệm tổng quát.
Bài toán tổ hợp,Sự khác biệt cốt lõi giữa chỉnh hợp và tổ hợp là gì?,"Chỉnh hợp có tính thứ tự (ví dụ xếp hàng), còn tổ hợp không tính thứ tự (ví dụ chọn nhóm)."
Bài toán tổ hợp,Sự khác biệt giữa bài toán đếm và bài toán liệt kê là gì?,"Bài toán đếm chỉ cần tìm số lượng, còn bài toán liệt kê yêu cầu chỉ ra cụ thể từng phần tử."
Bài toán tổ hợp,Sự khác biệt giữa chứng minh tồn tại xây dựng và không xây dựng là gì?,"Chứng minh xây dựng chỉ ra cụ thể phần tử đó, còn không xây dựng chỉ chứng minh nó phải có mặt mà không chỉ ra là cái nào."
Bài toán tổ hợp,Sự khác biệt giữa thuật toán sinh và thuật toán quay lui?,"Thuật toán sinh tìm cấu hình tiếp theo từ cấu hình trước, còn quay lui xây dựng cấu hình từng thành phần một."
Bài toán tổ hợp,Sự khác biệt giữa xấp xỉ số Ramsey và tìm số Ramsey chính xác là gì?,"Xấp xỉ là tìm các khoảng chặn (lower/upper bound), còn tìm chính xác là xác định một con số cụ thể duy nhất."
Bài toán tổ hợp,Tam giác Pascal có mối liên hệ gì với số tổ hợp?,"Mỗi dòng của tam giác Pascal liệt kê các số tổ hợp $C(n, k)$ tương ứng với n tăng dần."
Bài toán tổ hợp,Thuật toán Floyd-Warshall dùng để làm gì?,Tìm đường đi ngắn nhất giữa mọi cặp đỉnh trong đồ thị.
Bài toán tổ hợp,Thuật toán Johnson được dùng để giải bài toán nào?,Dùng để giải bài toán lập lịch gia công trên hai máy (hoặc ba máy trong trường hợp đặc biệt).
Bài toán tổ hợp,Thuật toán sinh kế tiếp hoạt động như thế nào?,"Từ một cấu hình hiện tại, thuật toán xác định cấu hình đứng ngay sau nó theo một thứ tự xác định (thường là từ điển)."
Bài toán tổ hợp,bài toán chia đồ vật khác nhau vào các hộp giống nhau là gì?,Bài toán chia đồ vật khác nhau vào các hộp giống nhau Là bài toán phân hoạch một tập hợp thành các tập con không phân biệt (số Stirling loại 2).
Bài toán tổ hợp,bài toán tồn tại trong hình học tổ hợp là gì?,Ví dụ như định lý Happy Ending khẳng định 5 điểm bất kỳ luôn chứa 4 điểm tạo thành tứ giác lồi.
Bài toán tổ hợp,bài toán tồn tại trong lý thuyết mã hóa là gì?,Bài toán tồn tại trong lý thuyết mã hóa Là việc xác định xem có tồn tại mã có khoảng cách Hamming đủ lớn để sửa lỗi hay không.
Bài toán tổ hợp,bài toán đếm các cấu hình logic là gì?,Bài toán đếm các cấu hình logic Là việc đếm số lượng các hàm Boole hoặc các mạch logic thỏa mãn một điều kiện nhất định.
Bài toán tổ hợp,bậc của một hệ thức truy hồi là gì?,Bậc của một hệ thức truy hồi Là số lượng các số hạng đứng trước được dùng để tính số hạng hiện tại.
Bài toán tổ hợp,chỉnh hợp lặp chập k của n phần tử là gì?,"Chỉnh hợp lặp chập k của n phần tử Là cách chọn có thứ tự k phần tử từ n phần tử, trong đó một phần tử có thể được chọn nhiều lần."
Bài toán tổ hợp,giới hạn dưới và giới hạn trên của số Ramsey là gì?,Là các khoảng giá trị mà số Ramsey chắc chắn nằm trong đó khi không thể xác định được giá trị chính xác.
Bài toán tổ hợp,hoán vị lặp là gì?,Hoán vị lặp Là cách sắp xếp n phần tử trong đó có các nhóm phần tử giống hệt nhau.
Bài toán tổ hợp,hệ thức truy hồi có hệ số thay đổi là gì?,Là hệ thức mà các hệ số đứng trước các số hạng không phải là hằng số mà phụ thuộc vào n.
Bài toán tổ hợp,hệ thức truy hồi tuyến tính không thuần nhất là gì?,Là hệ thức truy hồi có thêm một hàm số phụ thuộc vào n ở vế phải ($f(n)$).
Bài toán tổ hợp,bài toán phân hoạch số nguyên là gì?,Bài toán phân hoạch số nguyên Là cách biểu diễn một số nguyên dương dưới dạng tổng của các số nguyên dương khác mà không quan tâm đến thứ tự các số hạng.
Bài toán tổ hợp,bài toán tồn tại trong toán rời rạc là gì?,Bài toán tồn tại trong toán rời rạc Là bài toán yêu cầu xác định xem có tồn tại ít nhất một cấu hình thỏa mãn điều kiện cho trước hay không.
Bài toán tổ hợp,bài toán tồn tại trong đếm là gì?,Bài toán tồn tại trong đếm Là bài toán yêu cầu chứng minh có ít nhất một cấu hình thỏa mãn điều kiện mà không nhất thiết phải liệt kê ra.
Bài toán tổ hợp,bài toán đếm bằng cách sử dụng song ánh là gì?,Bài toán đếm bằng cách sử dụng song ánh Là cách đếm số phần tử của tập hợp A bằng cách thiết lập một song ánh đến tập hợp B đã biết số phần tử.
Bài toán tổ hợp,bài toán đếm đa thức là gì?,"Bài toán đếm đa thức Là việc chia n phần tử thành nhiều nhóm có kích thước cố định n1, n2, ..., nk."
Bài toán tổ hợp,bài toán đếm đệ quy là gì?,"Bài toán đếm đệ quy Là bài toán mà số cách thực hiện ở quy mô n được tính thông qua kết quả ở các quy mô nhỏ hơn (n-1, n-2...)."
Bài toán tổ hợp,chỉnh hợp chập k của n phần tử là gì?,Chỉnh hợp chập k của n phần tử Là một cách chọn có thứ tự k phần tử từ tập hợp n phần tử.
Bài toán tổ hợp,cấu hình trong bài toán liệt kê là gì?,"Cấu hình trong bài toán liệt kê Là một kết quả cụ thể (như một xâu, một tập con, một hoán vị) thỏa mãn các điều kiện ràng buộc."
Bài toán tổ hợp,hoán vị của n phần tử là gì?,Hoán vị của n phần tử Là một cách sắp xếp có thứ tự của tất cả n phần tử đó.
Bài toán tổ hợp,hệ thức truy hồi là gì?,Hệ thức truy hồi Là một công thức biểu diễn số hạng thứ n của một dãy số thông qua một hoặc nhiều số hạng đứng trước nó.
Bài toán tổ hợp,hệ thức truy hồi phi tuyến là gì?,Là hệ thức mà các số hạng trước đó xuất hiện ở dạng lũy thừa hoặc nhân với nhau (ví dụ $a_n = a_{n-1} * a_{n-2}$).
Bài toán tổ hợp,hệ đại diện phân biệt là gì?,"Hệ đại diện phân biệt Là một tập hợp các phần tử khác nhau, trong đó mỗi phần tử đại diện cho một tập hợp trong một họ các tập hợp cho trước."
Bài toán tổ hợp,lát cắt trong ngữ cảnh bài toán tồn tại SDR là gì?,"Lát cắt trong ngữ cảnh bài toán tồn tại SDR Là việc xác định các giới hạn mà tại đó điều kiện Hall bị vi phạm, dẫn đến không tồn tại SDR."
Bài toán tổ hợp,tổ hợp chập k của n phần tử là gì?,Tổ hợp chập k của n phần tử Là một cách chọn không tính thứ tự k phần tử từ tập hợp n phần tử.
Bài toán tổ hợp,tổ hợp có lặp là gì?,Tổ hợp có lặp Là cách chọn k vật từ n loại vật mà một loại có thể xuất hiện nhiều lần và không tính thứ tự.
Bài toán tổ hợp,định nghĩa đệ quy là gì?,Định nghĩa đệ quy Là cách định nghĩa một khái niệm thông qua chính nó ở các quy mô nhỏ hơn cùng với một trường hợp cơ sở.
Bài toán tổ hợp,nguyên lý Dirichlet là gì?,Là nguyên lý khẳng định nếu mật độ phần tử vượt quá mật độ ngăn thì phải có ít nhất một ngăn chứa nhiều hơn 1 phần tử.
Bài toán tổ hợp,phương pháp giải lặp là gì?,"Phương pháp giải lặp Là cách giải bài toán bằng cách thực hiện lặp đi lặp lại một quy trình cho đến khi đạt được kết quả, thay vì dùng đệ quy."
Bài toán tổ hợp,phương pháp liệt kê trong toán rời rạc là gì?,"Phương pháp liệt kê trong toán rời rạc Là cách tìm ra tất cả các cấu hình (hoán vị, tổ hợp, xâu nhị phân...) thỏa mãn điều kiện bài toán theo một trình tự nhất định."
Bài toán tổ hợp,thuật toán duyệt toàn bộ là gì?,Thuật toán duyệt toàn bộ Là thuật toán liệt kê và kiểm tra mọi cấu hình trong không gian trạng thái để tìm nghiệm.
Bài toán tổ hợp,thuật toán nhánh cận trong tối ưu hóa đồ thị là gì?,Thuật toán nhánh cận trong tối ưu hóa đồ thị Là kỹ thuật duyệt có hệ thống các nghiệm khả thi và sử dụng các giá trị biên để loại bỏ các tập nghiệm không chứa nghiệm tối ưu.
Bài toán tổ hợp,thuật toán quay lui là gì?,"Thuật toán quay lui Là phương pháp thử sai có hệ thống, xây dựng dần cấu hình và quay lại bước trước nếu hướng đi hiện tại không dẫn đến kết quả."
Bài toán tổ hợp,thuật toán sinh tập con kế tiếp là gì?,"Thuật toán sinh tập con kế tiếp Là cách liệt kê tất cả các tập con của tập n phần tử, thường dựa trên việc sinh xâu nhị phân độ dài n."
Bài toán tổ hợp,thứ tự từ điển là gì?,Thứ tự từ điển Là cách sắp xếp các chuỗi hoặc tập hợp tương tự như cách sắp xếp từ trong từ điển ngôn ngữ.
Bài toán tổ hợp,tổ hợp lặp chập k của n phần tử là gì?,"Tổ hợp lặp chập k của n phần tử Là cách chọn không tính thứ tự k phần tử từ n loại phần tử, mỗi loại có thể chọn nhiều lần."
Bài toán tổ hợp,điều kiện dừng trong thuật toán liệt kê là gì?,Là trạng thái mà thuật toán đã duyệt hết toàn bộ không gian trạng thái hoặc đã tìm đủ số lượng nghiệm cần thiết.
Bài toán tổ hợp,định lý Erdos-Szekeres về dãy con đơn điệu là gì?,Định lý Erdos-Szekeres về dãy con đơn điệu Là một ứng dụng của bài toán tồn tại khẳng định một dãy số đủ dài luôn chứa dãy con tăng hoặc giảm có độ dài cho trước.
Bài toán tổ hợp,Triết lý cốt lõi của định lý Ramsey là gì?,"Khẳng định rằng trong một hệ thống đủ lớn, sự hỗn loạn hoàn toàn là không thể, luôn tồn tại các cấu trúc con có trật tự."
Bài toán tổ hợp,Tại sao 0 giai thừa lại được quy ước bằng 1?,"Để đảm bảo tính nhất quán của các công thức tổ hợp, ví dụ $C(n, n)$ $=$ 1 và $C(n, 0)$ $=$ 1."
Bài toán tổ hợp,Tại sao DFS lại sử dụng cấu trúc dữ liệu ngăn xếp ?,Để lưu trữ các đỉnh đang trong quá trình duyệt và thực hiện việc quay lui (Backtracking) khi gặp đường cụt.
Bài toán tổ hợp,Tại sao R = 6 được coi là ví dụ kinh điển của định lý Ramsey?,"Vì trong một nhóm 6 người, luôn tồn tại ít nhất 3 người đôi một quen nhau hoặc 3 người đôi một không quen nhau."
Bài toán tổ hợp,Tại sao bài toán người du lịch lại có thể giải bằng nhánh cận?,"Vì nhánh cận giúp cắt tỉa các hướng đi có chi phí đã vượt quá kỷ lục tốt nhất hiện tại, giảm bớt việc duyệt."
Bài toán tổ hợp,Tại sao bài toán người du lịch lại thuộc nhóm NP-khó?,Vì số lượng chu trình Hamilton tăng rất nhanh và không có thuật toán đa thức nào tìm được nghiệm tối ưu trong mọi trường hợp.
Bài toán tổ hợp,Tại sao bài toán phân chia số nguyên lại khó hơn bài toán tổ hợp lặp?,"""""""Vì các """"""""hộp"""""""" và các """"""""vật"""""""" đều không phân biệt, đòi hỏi các kỹ thuật hàm sinh phức tạp hơn."""""""
Bài toán tổ hợp,Tại sao công thức Pascal lại đúng về mặt logic?,"Vì để chọn k người từ n người, ta có thể chọn k người không có người A, hoặc chọn người A và chọn thêm k-1 người còn lại."
Bài toán tổ hợp,Tại sao công thức tổ hợp chập k của n lại có k giai thừa ở mẫu số?,"Để loại bỏ các hoán vị của k phần tử đã chọn, vì trong tổ hợp thứ tự của chúng không quan trọng."
Bài toán tổ hợp,Tại sao cần có cấu hình đầu tiên và cấu hình cuối cùng trong thuật toán sinh?,Để biết điểm bắt đầu và điểm kết thúc của quá trình liệt kê toàn bộ tập hợp.
